Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379721_counts.txt" "data/mapped/SRR10379721.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379721_counts.txt" "data/mapped/SRR10379721.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379722_counts.txt" "data/mapped/SRR10379722.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379723_counts.txt" "data/mapped/SRR10379723.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379724_counts.txt" "data/mapped/SRR10379724.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379725_counts.txt" "data/mapped/SRR10379725.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379726_counts.txt" "data/mapped/SRR10379726.bam" 
Geneid	data/mapped/SRR10379721.bam	data/mapped/SRR10379722.bam	data/mapped/SRR10379723.bam	data/mapped/SRR10379724.bam	data/mapped/SRR10379725.bam	data/mapped/SRR10379726.bam
SAOUHSC_00001	20275	16813	12918	13967	19419	3941
SAOUHSC_00002	15761	12015	11019	11919	14852	2075
SAOUHSC_00003	1563	1187	823	1316	966	120
SAOUHSC_00004	13733	11295	9770	7503	6630	838
SAOUHSC_00005	29291	26225	23993	12005	12050	3484
SAOUHSC_00006	44445	32814	31602	18722	12298	3967
SAOUHSC_00007	6826	4721	4597	3491	4978	1203
SAOUHSC_00008	2696	2247	2072	1182	1843	293
SAOUHSC_00009	2193	1836	1231	40140	77812	13343
SAOUHSC_00010	180	160	131	2077	4575	264
SAOUHSC_00012	155	134	125	1141	2740	294
SAOUHSC_00013	1065	1123	814	4542	8797	1870
SAOUHSC_00014	4446	3337	3391	6861	8751	1160
SAOUHSC_00015	25447	21609	22167	20715	25658	5766
SAOUHSC_00017	6330	5500	5620	5218	6482	1042
SAOUHSC_00018	11556	10260	8627	14269	19466	6288
SAOUHSC_00019	6811	6149	6752	8513	5184	3211
SAOUHSC_T00018	80	41	36	44	7	128
SAOUHSC_T00011	369	310	155	224	31	197
SAOUHSC_00020	3638	3428	2538	3862	5942	916
SAOUHSC_00021	11930	10337	8060	11274	13059	6156
SAOUHSC_00022	12709	10826	8929	10210	12002	1984
SAOUHSC_00023	9425	7779	7245	6814	8106	2075
SAOUHSC_00024	2402	1432	1562	1280	1035	364
SAOUHSC_00025	1631	1134	1207	1001	1377	657
SAOUHSC_00026	375	229	342	62	49	16
SAOUHSC_00027	1258	1126	865	1244	2107	676
SAOUHSC_00028	2	3	3	2	0	3
SAOUHSC_00029	5	7	16	53	104	13
SAOUHSC_00030	1275	941	964	2319	3893	293
SAOUHSC_00031	28288	17958	29584	1781	2005	309
SAOUHSC_00032	49	27	124	18	35	18
SAOUHSC_00033	14002	9309	15984	1358	1039	138
SAOUHSC_00034	3596	2714	3216	306	292	15
SAOUHSC_00035	24557	16318	25352	941	383	36
SAOUHSC_00036	46587	32561	48261	2023	1098	272
SAOUHSC_00037	45065	29415	42498	8508	8128	3301
SAOUHSC_00038	223	171	124	174	132	14
SAOUHSC_00039	2867	2447	1857	3151	4104	1977
SAOUHSC_00040	18	14	16	20	39	6
SAOUHSC_00041	639	510	493	407	561	57
SAOUHSC_00042	340	213	247	384	497	42
SAOUHSC_00043	168	91	95	97	130	24
SAOUHSC_00044	1847	1289	1512	728	907	58
SAOUHSC_00045	90	61	112	234	437	61
SAOUHSC_00046	391	303	336	457	679	27
SAOUHSC_00047	554	321	383	438	882	42
SAOUHSC_00049	2477	1662	1883	2351	3193	328
SAOUHSC_00050	1459	896	1188	926	1292	111
SAOUHSC_00051	362	170	193	454	661	194
SAOUHSC_00052	168	92	116	85	139	17
SAOUHSC_00053	234	165	217	189	362	28
SAOUHSC_00054	376	281	299	255	407	42
SAOUHSC_00055	531	348	409	305	452	39
SAOUHSC_00056	2728	2166	1841	3358	5006	463
SAOUHSC_00057	537	493	366	755	910	279
SAOUHSC_00058	930	660	597	1184	1877	400
SAOUHSC_00060	1739	1373	1813	2097	1761	757
SAOUHSC_00061	1796	1221	1188	1657	2397	716
SAOUHSC_00062	77	26	47	18	20	3
SAOUHSC_00064	134	84	98	214	237	26
SAOUHSC_00065	345	280	256	1663	1991	306
