Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
SAOUHSC_00001	59	26	51	59	50	6
SAOUHSC_00002	238	119	143	71	56	1
SAOUHSC_00003	228	153	163	37	15	3
SAOUHSC_00004	716	533	588	186	173	32
SAOUHSC_00005	213	195	155	61	29	5
SAOUHSC_00006	521	313	345	175	129	18
SAOUHSC_00007	274	142	201	103	76	5
SAOUHSC_00008	172	142	143	75	61	9
SAOUHSC_00009	54	41	46	20	12	5
SAOUHSC_00010	286	192	185	170	161	26
SAOUHSC_00012	209	96	150	163	153	16
SAOUHSC_00013	349	220	230	108	78	15
SAOUHSC_00014	53	29	38	11	6	0
SAOUHSC_00015	214	111	132	40	33	3
SAOUHSC_00017	194	130	124	61	40	7
SAOUHSC_00018	0	0	0	0	0	0
SAOUHSC_00019	1	0	1	0	0	0
SAOUHSC_T00018	221	121	148	46	32	4
SAOUHSC_T00011	447	263	308	89	48	9
SAOUHSC_00020	287	189	204	43	31	5
SAOUHSC_00021	117	46	66	11	20	0
SAOUHSC_00022	393	277	288	66	47	9
SAOUHSC_00023	1241	944	931	237	173	18
SAOUHSC_00024	959	876	664	962	1641	530
SAOUHSC_00025	349	259	315	87	89	14
SAOUHSC_00026	14	18	18	63	135	14
SAOUHSC_00027	0	0	0	0	0	0
SAOUHSC_00028	307	218	370	66	51	3
SAOUHSC_00029	266	217	176	317	325	13
SAOUHSC_00030	8	1	4	4	5	0
SAOUHSC_00031	288	228	227	108	122	11
SAOUHSC_00032	91	66	64	26	31	5
SAOUHSC_00033	207	91	122	74	90	3
SAOUHSC_00034	181	152	135	44	42	11
SAOUHSC_00035	101	54	60	24	27	2
SAOUHSC_00036	161	131	150	54	32	7
SAOUHSC_00037	1338	1266	1141	334	207	39
SAOUHSC_00038	22	16	22	13	11	0
SAOUHSC_00039	114	71	88	48	74	11
SAOUHSC_00040	1625	1188	1349	620	615	98
SAOUHSC_00041	614	449	523	171	93	9
SAOUHSC_00042	35	24	33	77	70	15
SAOUHSC_00043	51	30	41	81	83	9
SAOUHSC_00044	30	22	53	34	28	7
SAOUHSC_00045	173	102	119	59	64	8
SAOUHSC_00046	280	155	219	54	46	4
SAOUHSC_00047	39	27	28	12	13	2
SAOUHSC_00049	95	62	63	56	63	1
SAOUHSC_00050	23	17	26	7	1	2
SAOUHSC_00051	17	9	18	3	2	0
SAOUHSC_00052	24	12	26	4	4	0
SAOUHSC_00053	146	77	92	90	90	17
SAOUHSC_00054	922	664	555	1592	2000	291
SAOUHSC_00055	157	98	80	38	23	3
SAOUHSC_00056	150	113	78	87	114	16
SAOUHSC_00057	320	220	191	239	264	41
SAOUHSC_00058	628	390	311	1095	1026	171
SAOUHSC_00060	155	80	95	88	89	11
SAOUHSC_00061	148	86	127	40	31	1
SAOUHSC_00062	87	46	52	72	63	2
SAOUHSC_00064	185	81	76	92	119	26
SAOUHSC_00065	265	148	145	121	50	6
SAOUHSC_00067	59	25	65	19	22	0
SAOUHSC_00069	126	59	53	52	53	6
SAOUHSC_00070	151	99	82	75	74	51
SAOUHSC_00071	135	79	93	60	37	8
SAOUHSC_00072	148	84	92	33	42	1
SAOUHSC_00074	192	99	106	28	11	0
SAOUHSC_00075	395	212	196	62	37	4
SAOUHSC_00076	180	117	136	45	40	13
SAOUHSC_00077	426	210	227	126	126	13
SAOUHSC_00078	365	238	215	106	85	10
SAOUHSC_00079	150	104	67	30	25	2
SAOUHSC_00080	194	78	102	29	9	1
SAOUHSC_00081	110	72	65	10	13	2
SAOUHSC_00082	86	32	34	15	12	4
SAOUHSC_00083	67	37	49	14	20	3
SAOUHSC_00084	90	55	56	23	14	5
SAOUHSC_00085	5	1	3	1	0	0
SAOUHSC_00086	93	59	64	21	20	3
SAOUHSC_00087	98	70	83	18	8	0
SAOUHSC_00088	223	130	144	62	63	5
SAOUHSC_00089	197	149	163	83	76	9
SAOUHSC_00090	199	114	101	79	100	8
SAOUHSC_00091	149	139	94	114	89	4
SAOUHSC_00092	259	177	142	219	159	23
SAOUHSC_00093	626	738	416	344	506	51
SAOUHSC_00094	281	155	177	77	60	11
SAOUHSC_00096	249	160	138	54	41	1
SAOUHSC_00097	88	50	46	16	14	1
SAOUHSC_00099	94	58	62	35	36	5
SAOUHSC_00100	254	259	163	165	178	46
SAOUHSC_00101	246	206	128	124	124	23
SAOUHSC_00102	428	328	273	231	222	29
SAOUHSC_00103	272	211	187	215	212	23
SAOUHSC_00104	230	138	130	46	26	5
SAOUHSC_00105	193	144	137	228	139	67
SAOUHSC_00106	6	3	3	2	1	0
SAOUHSC_00107	69	38	55	6	10	0
SAOUHSC_00108	5	8	5	7	6	25
SAOUHSC_00109	824	485	587	226	250	31
SAOUHSC_00111	82	52	57	32	32	2
SAOUHSC_00113	170	110	127	140	168	13
SAOUHSC_00114	147	83	90	52	87	2
SAOUHSC_00115	319	220	215	70	51	5
SAOUHSC_00116	198	123	120	127	97	8
SAOUHSC_00117	306	153	182	52	33	2
SAOUHSC_00118	247	154	149	40	32	1
SAOUHSC_00119	110	73	74	36	35	3
SAOUHSC_00120	149	94	108	99	143	8
SAOUHSC_00121	122	79	79	141	92	14
SAOUHSC_00122	84	42	65	35	43	0
SAOUHSC_00123	133	74	71	25	29	2
SAOUHSC_00124	68	40	36	38	32	11
SAOUHSC_00125	174	110	115	60	49	1
SAOUHSC_00126	218	165	126	66	71	12
SAOUHSC_00127	150	150	89	48	47	12
SAOUHSC_00128	17	14	12	13	33	7
SAOUHSC_00129	33	34	17	30	47	4
SAOUHSC_00130	340	231	216	63	71	12
SAOUHSC_00131	315	271	273	251	223	11
SAOUHSC_00132	102	117	73	140	259	5
SAOUHSC_00133	49	17	21	11	3	0
SAOUHSC_00134	182	122	115	87	69	7
SAOUHSC_00135	241	172	186	84	78	11
