"gene","per_1","per_2","per_3","control_1","control_2","control_3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00001",20275,16813,12918,13967,19419,3941,13052.9372200563,0.286522726603974,0.272814857228185,1.05024605153496,0.293605001657772,0.3836850146789
"SAOUHSC_00002",15761,12015,11019,11919,14852,2075,9623.99705111608,0.460825776613484,0.176508407517672,2.61078655172472,0.00903342564006122,0.0186378065078482
"SAOUHSC_00003",1563,1187,823,1316,966,120,823.472913181353,0.674372847960163,0.359359752822701,1.87659536902253,0.0605735725746913,0.0998469684296206
"SAOUHSC_00004",13733,11295,9770,7503,6630,838,7016.75393171683,1.32155292963198,0.279562285590949,4.72722179545227,2.27612601563615e-06,1.05558881471154e-05
"SAOUHSC_00005",29291,26225,23993,12005,12050,3484,16237.015460837,1.30098562793233,0.332558392856377,3.91205170544046,9.15153114016679e-05,0.000300561607634912
"SAOUHSC_00006",44445,32814,31602,18722,12298,3967,21434.2479776918,1.43400770767089,0.35468507639954,4.04304495195488,5.27615003565281e-05,0.000182463943617079
"SAOUHSC_00007",6826,4721,4597,3491,4978,1203,3929.44169372981,0.515644487386772,0.324262678619409,1.5902060933506,0.111788357474728,0.170192070767647
"SAOUHSC_00008",2696,2247,2072,1182,1843,293,1504.99230735784,1.05260213808659,0.231557937836161,4.54573981752836,5.47426264202394e-06,2.32034086985788e-05
"SAOUHSC_00009",2193,1836,1231,40140,77812,13343,20951.2296158676,-4.74997800769357,0.32397329432109,-14.6616344339354,1.13507388070354e-48,3.70459737814619e-46
"SAOUHSC_00010",180,160,131,2077,4575,264,895.132108443352,-3.60709820485084,0.400970882520281,-8.99591058128367,2.34281953524372e-19,5.93893379273918e-18
"SAOUHSC_00012",155,134,125,1141,2740,294,629.140865647716,-3.24621380571473,0.3324298054772,-9.76511056538635,1.58938547998499e-22,5.187356860301e-21
"SAOUHSC_00013",1065,1123,814,4542,8797,1870,2948.32854003635,-2.52431771378155,0.371180864428916,-6.80077545933129,1.0405750047104e-11,1.08582492090619e-10
"SAOUHSC_00014",4446,3337,3391,6861,8751,1160,3939.46957079418,-0.531356280322717,0.189194573450801,-2.80851755222723,0.00497701692715818,0.0110127044040763
"SAOUHSC_00015",25447,21609,22167,20715,25658,5766,18456.0188768046,0.264914471609853,0.283994447184022,0.932815673815605,0.350915147135677,0.442841686404665
"SAOUHSC_00017",6330,5500,5620,5218,6482,1042,4397.38374891116,0.455235997721176,0.209692874492715,2.17096550763813,0.0299337798035385,0.0538642998394479
"SAOUHSC_00018",11556,10260,8627,14269,19466,6288,11802.5483404034,-0.748627511691421,0.405965363113385,-1.8440674493758,0.0651733109967764,0.106621250007884
"SAOUHSC_00019",6811,6149,6752,8513,5184,3211,6371.05820209849,-0.268855040660773,0.514419050715045,-0.522638188237904,0.60122606022269,0.677222279224091
"SAOUHSC_00020",3638,3428,2538,3862,5942,916,2956.57713727534,-0.17744904474507,0.241114682764654,-0.735952878150825,0.461759375344203,0.550714607867126
"SAOUHSC_00021",11930,10337,8060,11274,13059,6156,10746.0671432853,-0.547478540247931,0.494707608501853,-1.10667095237505,0.268436218548227,0.356867090951844
"SAOUHSC_00022",12709,10826,8929,10210,12002,1984,8210.71968932409,0.405617347568173,0.194591747037049,2.08445298294664,0.037118982717239,0.0653089479364222
"SAOUHSC_00023",9425,7779,7245,6814,8106,2075,6374.25803741497,0.31729384502123,0.31062831315569,1.02145822381039,0.307037392144275,0.396868629152823
"SAOUHSC_00024",2402,1432,1562,1280,1035,364,1240.62799467688,0.70926184954721,0.381071975595977,1.86122804868545,0.0627119789916601,0.102852372579915
"SAOUHSC_00025",1631,1134,1207,1001,1377,657,1227.29639879742,-0.195153514541371,0.523049215045104,-0.373107365287877,0.709068537152618,0.775283898871644
"SAOUHSC_00026",375,229,342,62,49,16,158.903995121045,2.75068877211679,0.403042202951311,6.82481574379715,8.80382380891472e-12,9.26886450204691e-11
"SAOUHSC_00027",1258,1126,865,1244,2107,676,1231.71475740379,-0.700319685217517,0.445445660372837,-1.57217759093523,0.115909370922199,0.175646759998759
"SAOUHSC_00028",2,3,3,2,0,3,3.32332990819325,-0.349573060519664,1.47082395565465,-0.237671584811842,0.812135824247177,0.854082519031908
"SAOUHSC_00029",5,7,16,53,104,13,28.2248499884235,-2.49213142995054,0.601605440866479,-4.14246823692482,3.4358796529005e-05,0.000122221822530289
"SAOUHSC_00030",1275,941,964,2319,3893,293,1268.77016457467,-0.826707340905471,0.318786720654833,-2.59329290507239,0.00950617714857313,0.0194977443322266
"SAOUHSC_00031",28288,17958,29584,1781,2005,309,11668.1457709606,4.24454895947597,0.303450679993484,13.9876073422117,1.85549970922024e-44,3.72669980059541e-42
"SAOUHSC_00032",49,27,124,18,35,18,47.3367955921892,0.98413182254882,0.793122209970353,1.24083251001836,0.214667628788728,0.296716346621158
"SAOUHSC_00033",14002,9309,15984,1358,1039,138,6113.76464140998,4.08482407931847,0.384646970859313,10.6196704739228,2.41411807344852e-26,1.21216582495655e-24
"SAOUHSC_00034",3596,2714,3216,306,292,15,1456.32195519818,4.23481773516672,0.450906410983175,9.39178869941758,5.89898255997768e-21,1.75025493910247e-19
"SAOUHSC_00035",24557,16318,25352,941,383,36,9845.57732714026,5.85103189517436,0.575223400150896,10.1717556929003,2.65086786124815e-24,1.09863745805062e-22
"SAOUHSC_00036",46587,32561,48261,2023,1098,272,19143.420542874,5.20390178140902,0.396197653337492,13.1346103076895,2.08562328089517e-39,2.36763582018143e-37
"SAOUHSC_00037",45065,29415,42498,8508,8128,3301,20818.546723534,2.15948719988919,0.446273999841085,4.8389267594755,1.30542137903184e-06,6.30028691432927e-06
"SAOUHSC_00038",223,171,124,174,132,14,114.750049295773,0.798787532750964,0.38488747903566,2.07537936737338,0.0379513888839347,0.0663260216706517
"SAOUHSC_00039",2867,2447,1857,3151,4104,1977,3016.77616836924,-0.946427760955511,0.518848104109135,-1.824094091238,0.0681378486787514,0.110777037920436
"SAOUHSC_00040",18,14,16,20,39,6,16.65671274041,-0.429164397872266,0.506028662737901,-0.848102942529469,0.396380643035709,0.485891952566309
"SAOUHSC_00041",639,510,493,407,561,57,371.759821213187,0.797029289307237,0.251627741229366,3.16749371676282,0.00153759032670676,0.00384544860443616
"SAOUHSC_00042",340,213,247,384,497,42,231.180014732809,-0.0486377834737467,0.316264395973462,-0.153788362183608,0.877776610302611,0.903736092074179
"SAOUHSC_00043",168,91,95,97,130,24,88.2276815278225,0.426094565610192,0.320780533200446,1.32830555943972,0.184077183892316,0.260925910500997
"SAOUHSC_00044",1847,1289,1512,728,907,58,875.698572954518,1.70336057933818,0.379197050683776,4.49201958788087,7.05509328370034e-06,2.90549661888669e-05
"SAOUHSC_00045",90,61,112,234,437,61,144.497365633894,-1.4423031532142,0.387005118218306,-3.72683224411676,0.000193901421067482,0.000594221373717366
"SAOUHSC_00046",391,303,336,457,679,27,281.733745229133,0.155877775868573,0.472069936671642,0.330200599020557,0.74124839424513,0.800854842389376
"SAOUHSC_00047",554,321,383,438,882,42,337.753402086347,0.166109963872486,0.436021394075946,0.380967461985485,0.703227392718978,0.770510584300987
"SAOUHSC_00049",2477,1662,1883,2351,3193,328,1638.15252272485,0.162634574756713,0.254238601903327,0.639692688439789,0.522372409814314,0.604304103688602
"SAOUHSC_00050",1459,896,1188,926,1292,111,806.333343585493,0.778157677906846,0.315491558389229,2.46649286554544,0.0136443446534001,0.0270125366738046
"SAOUHSC_00051",362,170,193,454,661,194,337.104356731943,-1.19692275146107,0.423738636847702,-2.82467220918367,0.00473290073276265,0.0105171096282921
"SAOUHSC_00052",168,92,116,85,139,17,86.9178019210596,0.677712187046323,0.326231278867833,2.07739794111185,0.0377648460736016,0.066044215069105
"SAOUHSC_00053",234,165,217,189,362,28,162.369612891902,0.270974010496179,0.356107286133839,0.760933631653738,0.446696709425812,0.536241429108412
"SAOUHSC_00054",376,281,299,255,407,42,231.4861527172,0.544460801350816,0.268068594864406,2.03105030496472,0.0422498918457536,0.0728629244446913
"SAOUHSC_00055",531,348,409,305,452,39,286.697860197459,0.842942053698936,0.300557865156634,2.80459156595234,0.00503803753838474,0.0110988185939994
"SAOUHSC_00056",2728,2166,1841,3358,5006,463,2107.07401001563,-0.240128629505167,0.265875948858,-0.90316040445394,0.366440769134269,0.458007107807361
"SAOUHSC_00057",537,493,366,755,910,279,547.931303821961,-0.773361266837158,0.378737020974565,-2.04194790582433,0.0411566990574533,0.0712600406094235
"SAOUHSC_00058",930,660,597,1184,1877,400,873.898506739134,-0.838450800263525,0.311910175898624,-2.68811621117496,0.00718563841850202,0.0151670993619311
"SAOUHSC_00060",1739,1373,1813,2097,1761,757,1602.9415105579,-0.283566525881509,0.449362020367609,-0.631042484742108,0.528012746008897,0.610288304483944
"SAOUHSC_00061",1796,1221,1188,1657,2397,716,1464.00270065759,-0.517217564466815,0.392693137569468,-1.31710364909374,0.187803884033959,0.265631604123872
"SAOUHSC_00062",77,26,47,18,20,3,26.8514494113576,1.85552841004008,0.524296861317402,3.53907975984767,0.000401524514571747,0.0011520664918097
"SAOUHSC_00064",134,84,98,214,237,26,108.195101892947,-0.504459345942377,0.305344871972848,-1.65209699669439,0.0985147791120606,0.152382753709473
"SAOUHSC_00065",345,280,256,1663,1991,306,695.036791197276,-2.15905278694385,0.199528795978796,-10.8207578577946,2.74498089224778e-27,1.49315523117895e-25
"SAOUHSC_00067",5244,3790,3723,6029,7506,2159,4578.9222591231,-0.582730917600496,0.353752026454114,-1.64728644367521,0.0994991829829303,0.153723293945817
"SAOUHSC_00069",2128,2247,1483,8913,5056,876,2893.87283791801,-1.27033807729302,0.388373361130823,-3.27091969849371,0.00107198344971173,0.00279615263456277
"SAOUHSC_00070",358,260,304,951,1052,50,371.629490837663,-0.845316414356556,0.472099169832669,-1.79054840248113,0.0733657933565824,0.118172786214705
"SAOUHSC_00071",4147,4380,2427,11088,13447,1664,5141.58161564267,-1.17798397755887,0.290975330135421,-4.0483981133749,5.15693744113537e-05,0.000178577767358149
"SAOUHSC_00072",547,384,307,253,382,130,322.054374731449,0.290019611249643,0.444846292187454,0.651954655671113,0.514430424649374,0.596437761438506
"SAOUHSC_00074",770,474,444,673,848,48,425.095862190424,0.347103596077421,0.411125140311235,0.844277233483343,0.398514504992612,0.48804942426628
